レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240706GMG05,蒲郡,05R,雨,追い風,2.0,1.0,41.3,6,57,B1,5.17,31.48,0.0,0.0,38.07,36.32,6.8,5,0,0,0.12758904324494355,-0.0510050318087495,-1.9241289198748823,-1.7071499003621102,0.066921570266736,0.0003798905270987428,1.0236964359734944
20240706GMG06,蒲郡,06R,曇り,無風,0.0,0.0,41.3,6,53,A1,6.7,55.38,8.0,77.78,32.44,37.66,6.71,3,0,1,1.276277336278329,1.5745066571495245,1.703931036914243,1.7856230814951404,-1.0040238588797714,0.8972023057306971,0.1253924656438556
20240706GMG07,蒲郡,07R,晴,左追い風,1.0,0.0,41.3,6,51,B1,5.19,33.33,8.0,80.0,39.02,38.96,6.78,6,0,0,-0.5646084963242406,-0.6692134394876739,1.8805578738026874,1.93443566866767,1.5031378403747333,1.0487404039955417,0.5755544630689413
20240706GMG08,蒲郡,08R,晴,右追い風,2.0,1.0,41.3,6,55,B1,4.61,31.76,5.36,32.0,34.19,35.66,6.78,4,0,0,-0.8135478184185622,-0.3901951760873176,0.13637433371702723,-0.21360171759637475,-0.233062023463795,0.5744293096813798,0.9979654098963492
20240706GMG09,蒲郡,09R,晴,追い風,1.0,0.0,41.3,6,55,B2,4.86,35.71,5.26,37.7,32.64,41.06,6.75,2,0,1,-0.8331389709633643,-0.1916032795276375,-0.6562775937909542,-0.7854855483110849,-0.47376967268397047,1.3817632400650721,0.9128709291752636
20240706GMG10,蒲郡,10R,晴,無風,0.0,0.0,41.3,6,52,A1,6.32,40.0,6.66,53.13,36.67,28.42,6.86,6,0,0,-0.015884626419266093,-0.5737203802873911,0.4780788549651266,0.6490435799619054,0.5649205306595318,-1.1889877513392022,1.2801506262055817
20240706GMG11,蒲郡,11R,晴,無風,0.0,0.0,41.3,6,51,A1,5.99,41.07,5.8,43.9,30.28,29.87,6.77,6,0,0,0.2910468476498414,0.24339431301360945,-0.18954797920452168,-0.05692653226501516,-1.273791666840164,-1.9568859002087697,-0.8427498280790613
20240706GMG12,蒲郡,12R,晴,無風,0.0,0.0,41.3,6,53,B1,5.0,28.72,4.98,29.37,47.68,30.54,6.87,2,0,1,-0.6824001677357673,-0.7994407423937907,-0.5822919825521753,-0.5133337939648054,1.8124655853920522,-1.3347502409515735,0.0
20240706HWJ01,平和島,01R,曇り,追い風,2.0,3.0,37.0,6,54,A1,6.34,46.07,5.71,33.33,38.46,57.14,6.99,1,1,1,1.761343367605358,1.7792719776346548,0.6638182686837757,0.7196001000030164,0.5999406511122137,0.832039313926417,-1.2627304498491916
20240706HWJ02,平和島,02R,曇り,右追い風,1.0,3.0,37.0,6,50,B1,4.77,27.03,5.15,31.52,57.14,33.33,6.95,5,0,0,-0.39003218343182755,-0.5086860602734508,0.39598810185652383,0.3861258854756165,1.5448806833643183,-0.12841901134980577,-0.35935101864655283
